id,hybrid_meta_score
medquad_392,0.98
medquad_13680,0.89
medquad_10126,0.83
medquad_11709,0.79
medquad_5188,0.97
medquad_2645,0.97
medquad_9233,0.78
medquad_1646,0.98
medquad_7383,1.0
medquad_14010,0.91
medquad_13720,0.96
medquad_9585,1.0
medquad_11517,0.86
medquad_10165,0.81
medquad_2550,0.95
medquad_7632,0.64
medquad_8255,0.76
medquad_4514,0.69
medquad_12048,0.96
medquad_7993,0.5
medquad_6148,0.87
medquad_2703,0.74
medquad_11055,0.66
medquad_13777,0.84
medquad_12609,0.89
medquad_2840,0.96
medquad_5719,0.93
medquad_866,0.96
medquad_9783,0.41
medquad_9369,0.95
medquad_3901,0.56
medquad_3558,0.91
medquad_1518,0.93
medquad_9953,0.83
medquad_6582,1.0
medquad_9224,0.89
medquad_8346,0.99
medquad_8139,0.0
medquad_5191,0.01
medquad_13890,1.0
medquad_8615,0.88
medquad_8172,1.0
medquad_6790,0.9
medquad_4730,0.86
medquad_4857,0.92
medquad_92,1.0
medquad_8564,0.48
medquad_255,0.92
medquad_8477,0.94
medquad_10733,0.87
medquad_150,0.9
medquad_8801,0.0
medquad_4160,0.72
medquad_8487,0.85
medquad_1212,0.99
medquad_13716,0.99
medquad_6938,0.57
medquad_10581,0.81
medquad_8891,1.0
medquad_2711,0.82
medquad_11057,0.86
medquad_7852,0.98
medquad_7591,0.82
medquad_13380,0.88
medquad_13909,0.91
medquad_8356,0.64
medquad_811,1.0
medquad_1289,0.79
medquad_2375,0.89
medquad_13639,0.86
medquad_12364,1.0
medquad_3269,0.96
medquad_11102,0.89
medquad_10242,0.94
medquad_3988,0.96
medquad_13534,0.99
medquad_10351,0.73
medquad_14044,0.92
medquad_874,0.74
medquad_2916,0.98
medquad_2641,0.96
medquad_1964,0.96
medquad_1072,1.0
medquad_7687,0.7
medquad_4063,0.49
medquad_13772,0.95
medquad_8571,0.64
medquad_9766,0.82
medquad_4140,0.94
medquad_2240,0.84
medquad_7996,0.52
medquad_6560,0.97
medquad_6895,0.98
medquad_7547,0.46
medquad_11528,0.95
medquad_4475,0.9
medquad_413,0.79
medquad_5613,0.98
medquad_2263,0.97
medquad_8963,0.0
medquad_12968,0.92
medquad_3771,0.71
medquad_4538,0.84
medquad_2656,0.92
medquad_3616,0.79
medquad_9280,0.89
medquad_9506,0.8
medquad_6592,0.6
medquad_7139,0.02
medquad_4796,0.85
medquad_11489,0.94
medquad_8994,0.78
medquad_7454,0.83
medquad_11665,0.88
medquad_2530,0.97
medquad_11022,0.96
medquad_10875,0.97
medquad_11473,0.77
medquad_1253,0.98
medquad_4068,0.92
medquad_8609,0.66
medquad_1796,1.0
medquad_10167,0.99
medquad_10398,0.97
medquad_4410,0.88
medquad_5651,0.95
medquad_13578,0.82
medquad_6409,0.97
medquad_13660,0.91
medquad_6577,0.98
medquad_7585,0.03
medquad_11068,0.93
medquad_1060,0.87
medquad_6190,0.86
medquad_947,1.0
medquad_2763,0.95
medquad_10296,0.86
medquad_1805,0.95
medquad_5925,0.88
medquad_13169,0.84
medquad_12066,0.78
medquad_7427,0.78
medquad_1517,0.93
medquad_2206,0.98
medquad_813,0.98
medquad_9831,0.96
medquad_2690,0.75
medquad_9225,0.98
medquad_12237,0.99
medquad_2783,0.98
medquad_4754,0.82
medquad_10832,0.9
medquad_2821,0.8
medquad_1436,0.93
medquad_13255,0.42
medquad_13876,0.98
medquad_2912,0.87
medquad_11457,0.99
medquad_8097,0.1
medquad_13231,0.9
medquad_12794,0.76
medquad_4277,0.91
medquad_13073,0.44
medquad_12014,0.89
medquad_11549,0.75
medquad_11563,0.98
medquad_6862,0.59
medquad_2668,0.88
medquad_3196,0.62
medquad_6276,0.75
medquad_2953,0.54
medquad_10343,0.96
medquad_12472,0.89
medquad_6882,0.91
medquad_8295,0.83
medquad_6779,0.96
medquad_12624,0.79
medquad_411,0.98
medquad_4745,0.43
medquad_12769,0.88
medquad_2774,0.95
medquad_7332,0.94
medquad_11785,0.91
medquad_5575,1.0
medquad_2532,0.47
medquad_3818,0.93
medquad_6694,0.67
medquad_13912,0.92
medquad_2311,0.76
medquad_250,0.86
medquad_5380,0.8
medquad_10541,0.97
medquad_5764,0.9
medquad_3587,0.9
medquad_12020,0.94
medquad_13160,0.98
medquad_7772,0.07
medquad_1115,0.99
medquad_9192,0.03
medquad_1440,0.92
medquad_6044,0.92
medquad_11743,0.49
medquad_5042,0.0
medquad_2113,0.96
medquad_11859,0.98
medquad_7644,0.06
medquad_10589,0.88
medquad_9056,0.0
medquad_6303,0.1
medquad_5632,0.86
medquad_3299,0.98
medquad_12436,0.99
medquad_13308,0.98
medquad_2830,1.0
medquad_5537,0.73
medquad_3051,0.37
medquad_11289,0.94
medquad_7896,0.81
medquad_3041,0.76
medquad_764,1.0
medquad_3851,0.94
medquad_7204,0.93
medquad_5484,0.03
medquad_12757,0.92
medquad_5429,0.94
medquad_380,0.97
medquad_5363,0.0
medquad_7153,0.86
medquad_589,0.92
medquad_11178,0.93
medquad_8939,0.97
medquad_9970,0.74
medquad_2241,1.0
medquad_6611,0.97
medquad_833,1.0
medquad_5842,0.99
medquad_7947,0.87
medquad_2991,0.77
medquad_2352,0.93
