id,internal_signal_score
medquad_13491,0.85
medquad_2790,0.83
medquad_9429,0.83
medquad_6194,0.89
medquad_650,0.77
medquad_5574,0.95
medquad_4106,0.72
medquad_2346,0.93
medquad_1790,0.91
medquad_5167,0.84
medquad_11985,0.03
medquad_10492,0.91
medquad_2612,0.96
medquad_1425,0.81
medquad_10850,0.82
medquad_6017,0.81
medquad_4195,0.82
medquad_9643,0.82
medquad_267,0.89
medquad_13503,0.85
medquad_5387,0.94
medquad_392,0.86
medquad_13680,0.81
medquad_10126,0.83
medquad_11709,0.84
medquad_5188,0.94
medquad_2645,0.97
medquad_9233,0.85
medquad_1646,0.79
medquad_7383,0.9
medquad_14010,0.86
medquad_13720,0.81
medquad_9585,0.88
medquad_11517,0.78
medquad_10165,0.91
medquad_2550,0.9
medquad_7632,0.89
medquad_8255,0.81
medquad_4514,0.45
medquad_12048,0.93
medquad_7993,0.83
medquad_6148,0.92
medquad_2703,0.94
medquad_11055,0.79
medquad_13777,1.0
medquad_12609,0.97
medquad_2840,0.71
medquad_5719,0.76
medquad_866,0.8
medquad_9783,0.81
medquad_9369,0.98
medquad_3901,0.84
medquad_3558,0.88
medquad_1518,0.89
medquad_9953,0.62
medquad_6582,0.83
medquad_9224,0.91
medquad_8346,0.84
medquad_8139,0.05
medquad_5191,0.17
medquad_13890,0.97
medquad_8615,0.89
medquad_8172,0.87
medquad_6790,0.85
medquad_4730,0.91
medquad_4857,0.81
medquad_92,0.96
medquad_8564,0.82
medquad_255,0.74
medquad_8477,0.92
medquad_10733,0.79
medquad_150,0.84
medquad_8801,0.06
medquad_4160,0.47
medquad_8487,0.79
medquad_1212,0.87
medquad_13716,0.86
medquad_6938,0.78
medquad_10581,0.8
medquad_8891,0.99
medquad_2711,0.94
medquad_11057,0.83
medquad_7852,0.95
medquad_7591,0.98
medquad_13380,0.74
medquad_13909,0.79
medquad_8356,0.94
medquad_811,0.92
medquad_1289,0.87
medquad_2375,0.91
medquad_13639,0.9
medquad_12364,0.93
medquad_3269,0.85
medquad_11102,0.8
medquad_10242,0.72
medquad_3988,0.75
medquad_13534,0.85
medquad_10351,0.94
medquad_14044,0.99
medquad_874,0.88
medquad_2916,0.96
medquad_2641,0.92
medquad_1964,0.86
medquad_1072,0.89
medquad_7687,0.95
medquad_4063,0.24
medquad_13772,0.92
medquad_8571,0.98
medquad_9766,0.72
medquad_4140,0.48
medquad_2240,0.87
medquad_7996,0.97
medquad_6560,0.86
medquad_6895,0.73
medquad_7547,0.8
medquad_11528,0.94
medquad_4475,0.82
medquad_413,0.98
medquad_5613,0.96
medquad_2263,0.96
medquad_8963,0.29
medquad_12968,0.94
medquad_3771,0.86
medquad_4538,0.89
medquad_2656,0.91
medquad_3616,0.8
medquad_9280,0.74
medquad_9506,0.84
medquad_6592,0.97
medquad_7139,0.05
medquad_4796,0.83
medquad_11489,0.88
medquad_8994,0.94
medquad_7454,0.86
medquad_11665,0.84
medquad_2530,0.92
medquad_11022,0.97
medquad_10875,0.89
medquad_11473,0.93
medquad_1253,0.91
medquad_4068,0.9
medquad_8609,0.91
medquad_1796,0.91
medquad_10167,0.87
medquad_10398,0.75
medquad_4410,0.92
medquad_5651,1.0
medquad_13578,0.94
medquad_6409,0.67
medquad_13660,0.84
medquad_6577,0.93
medquad_7585,0.06
medquad_11068,0.95
medquad_1060,0.93
medquad_6190,0.9
medquad_947,0.97
medquad_2763,0.87
medquad_10296,0.86
medquad_1805,0.93
medquad_5925,0.94
medquad_13169,0.81
medquad_12066,0.81
medquad_7427,0.84
medquad_1517,0.89
medquad_2206,0.94
medquad_813,0.95
medquad_9831,0.91
medquad_2690,0.83
medquad_9225,0.93
medquad_12237,0.89
medquad_2783,0.85
medquad_4754,0.88
medquad_10832,0.97
medquad_2821,0.92
medquad_1436,0.95
medquad_13255,0.83
medquad_13876,0.71
medquad_2912,0.86
medquad_11457,0.88
medquad_8097,0.1
medquad_13231,0.73
medquad_12794,0.78
medquad_4277,0.75
medquad_13073,0.91
medquad_12014,0.94
medquad_11549,0.91
medquad_11563,0.95
medquad_6862,0.97
medquad_2668,0.89
medquad_3196,0.94
medquad_6276,0.87
medquad_2953,0.89
medquad_10343,0.82
medquad_12472,0.91
medquad_6882,0.84
medquad_8295,0.8
medquad_6779,0.89
medquad_12624,0.88
medquad_411,0.73
medquad_4745,0.84
medquad_12769,0.88
medquad_2774,0.76
medquad_7332,0.83
medquad_11785,0.88
medquad_5575,0.82
medquad_2532,0.95
medquad_3818,0.99
medquad_6694,0.95
medquad_13912,0.97
medquad_2311,0.61
medquad_250,0.81
medquad_5380,0.81
medquad_10541,0.76
medquad_5764,0.9
medquad_3587,0.92
medquad_12020,0.9
medquad_13160,0.93
medquad_7772,0.02
medquad_1115,0.86
medquad_9192,0.21
medquad_1440,0.95
medquad_6044,0.9
medquad_11743,0.92
medquad_5042,0.05
medquad_2113,0.92
medquad_11859,0.91
medquad_7644,0.15
medquad_10589,0.87
medquad_9056,0.02
medquad_6303,0.18
medquad_5632,0.73
medquad_3299,0.8
medquad_12436,0.91
medquad_13308,0.79
medquad_2830,0.94
medquad_5537,0.83
medquad_3051,0.89
medquad_11289,0.97
medquad_7896,0.68
medquad_3041,0.85
medquad_764,0.89
medquad_3851,0.92
medquad_7204,0.85
medquad_5484,0.16
medquad_12757,0.96
medquad_5429,0.89
medquad_380,0.89
medquad_5363,0.2
medquad_7153,0.84
medquad_589,0.97
medquad_11178,0.95
medquad_8939,0.84
medquad_9970,0.88
medquad_2241,0.91
medquad_6611,0.94
medquad_833,0.96
medquad_5842,0.84
medquad_7947,0.95
medquad_2991,0.95
medquad_2352,0.9
