id,hybrid_meta_score
medquad_10543,0.87
medquad_737,0.91
medquad_1365,0.9
medquad_621,0.92
medquad_1250,0.89
medquad_14031,0.99
medquad_8169,0.0
medquad_2260,0.96
medquad_10839,1.0
medquad_9284,1.0
medquad_9999,0.99
medquad_13849,0.59
medquad_5111,0.13
medquad_8482,0.97
medquad_1524,0.94
medquad_10093,0.91
medquad_9293,0.91
medquad_3163,0.86
medquad_13491,0.94
medquad_2790,0.98
medquad_9429,0.92
medquad_6194,0.99
medquad_650,1.0
medquad_5574,0.98
medquad_4106,0.91
medquad_2346,0.82
medquad_1790,0.78
medquad_5167,0.98
medquad_11985,0.05
medquad_10492,0.98
medquad_2612,0.89
medquad_1425,0.94
medquad_10850,0.7
medquad_6017,0.4
medquad_4195,0.85
medquad_9643,0.73
medquad_267,0.92
medquad_13503,0.94
medquad_5387,0.54
medquad_392,0.87
medquad_13680,0.84
medquad_10126,0.97
medquad_11709,0.94
medquad_5188,0.99
medquad_2645,0.87
medquad_9233,0.62
medquad_1646,0.87
medquad_7383,0.88
medquad_14010,0.66
medquad_13720,0.94
medquad_9585,1.0
medquad_11517,0.98
medquad_10165,0.94
medquad_2550,0.84
medquad_7632,0.72
medquad_8255,0.63
medquad_4514,0.18
medquad_12048,0.89
medquad_7993,0.93
medquad_6148,0.97
medquad_2703,0.72
medquad_11055,0.67
medquad_13777,0.99
medquad_12609,0.95
medquad_2840,0.9
medquad_5719,0.98
medquad_866,0.96
medquad_9783,1.0
medquad_9369,0.92
medquad_3901,0.93
medquad_3558,0.94
medquad_1518,1.0
medquad_9953,0.74
medquad_6582,0.55
medquad_9224,0.95
medquad_8346,0.98
medquad_8139,0.37
medquad_5191,0.0
medquad_13890,1.0
medquad_8615,0.99
medquad_8172,0.86
medquad_6790,1.0
medquad_4730,0.86
medquad_4857,0.81
medquad_92,0.79
medquad_8564,0.66
medquad_255,0.95
medquad_8477,0.9
medquad_10733,0.93
medquad_150,0.79
medquad_8801,0.08
medquad_4160,0.26
medquad_8487,0.88
medquad_1212,0.77
medquad_13716,0.89
medquad_6938,0.73
medquad_10581,0.9
medquad_8891,0.93
medquad_2711,0.99
medquad_11057,0.97
medquad_7852,0.82
medquad_7591,0.98
medquad_13380,0.91
medquad_13909,1.0
medquad_8356,0.81
medquad_811,0.97
medquad_1289,0.84
medquad_2375,0.88
medquad_13639,0.97
medquad_12364,0.99
medquad_3269,0.94
medquad_11102,0.84
medquad_10242,0.93
medquad_3988,0.98
medquad_13534,0.95
medquad_10351,1.0
medquad_14044,1.0
medquad_874,1.0
medquad_2916,0.98
medquad_2641,1.0
medquad_1964,0.96
medquad_1072,0.96
medquad_7687,0.72
medquad_4063,0.18
medquad_13772,0.83
medquad_8571,0.81
medquad_9766,0.94
medquad_4140,0.06
medquad_2240,0.86
medquad_7996,0.97
medquad_6560,0.89
medquad_6895,0.8
medquad_7547,0.5
medquad_11528,0.64
medquad_4475,0.97
medquad_413,0.98
medquad_5613,0.93
medquad_2263,0.86
medquad_8963,0.0
medquad_12968,0.97
medquad_3771,0.84
medquad_4538,0.94
medquad_2656,0.93
medquad_3616,0.99
medquad_9280,0.78
medquad_9506,0.93
medquad_6592,0.82
medquad_7139,0.13
medquad_4796,0.83
medquad_11489,1.0
medquad_8994,0.93
medquad_7454,0.92
medquad_11665,0.92
medquad_2530,0.89
medquad_11022,0.9
medquad_10875,0.92
medquad_11473,0.95
medquad_1253,0.96
medquad_4068,0.96
medquad_8609,0.8
medquad_1796,0.98
medquad_10167,1.0
medquad_10398,0.92
medquad_4410,0.85
medquad_5651,1.0
medquad_13578,1.0
medquad_6409,0.71
medquad_13660,0.96
medquad_6577,0.78
medquad_7585,0.09
medquad_11068,0.94
medquad_1060,0.99
medquad_6190,0.94
medquad_947,1.0
medquad_2763,0.86
medquad_10296,0.99
medquad_1805,0.8
medquad_5925,0.75
medquad_13169,0.64
medquad_12066,0.98
medquad_7427,0.89
medquad_1517,0.97
medquad_2206,0.99
medquad_813,0.68
medquad_9831,0.99
medquad_2690,0.9
medquad_9225,0.89
medquad_12237,0.67
medquad_2783,0.94
medquad_4754,0.99
medquad_10832,0.97
medquad_2821,0.68
medquad_1436,0.95
medquad_13255,0.8
medquad_13876,0.83
medquad_2912,0.93
medquad_11457,0.98
medquad_8097,0.0
medquad_13231,0.89
medquad_12794,0.86
medquad_4277,0.8
medquad_13073,0.98
medquad_12014,0.93
medquad_11549,0.9
medquad_11563,0.98
medquad_6862,0.83
medquad_2668,0.73
medquad_3196,0.87
medquad_6276,0.86
medquad_2953,0.94
medquad_10343,1.0
medquad_12472,1.0
medquad_6882,0.98
medquad_8295,0.96
medquad_6779,0.71
medquad_12624,0.76
medquad_411,0.82
medquad_4745,1.0
medquad_12769,0.75
medquad_2774,1.0
medquad_7332,0.68
medquad_11785,0.94
medquad_5575,0.71
medquad_2532,0.99
medquad_3818,0.93
medquad_6694,0.85
medquad_13912,0.99
medquad_2311,0.83
medquad_250,0.49
medquad_5380,0.56
medquad_10541,1.0
medquad_5764,0.93
medquad_3587,0.75
medquad_12020,0.91
medquad_13160,0.99
medquad_7772,0.04
medquad_1115,0.93
medquad_9192,0.06
medquad_1440,0.94
medquad_6044,0.9
medquad_11743,0.99
medquad_5042,0.0
medquad_2113,0.87
medquad_11859,0.87
medquad_7644,0.0
medquad_10589,0.94
medquad_9056,0.39
medquad_6303,0.0
medquad_5632,0.85
medquad_3299,0.98
medquad_12436,0.5
medquad_13308,1.0
medquad_2830,0.81
medquad_5537,0.97
medquad_3051,0.77
medquad_11289,0.99
medquad_7896,0.95
medquad_3041,0.98
medquad_764,0.96
medquad_3851,0.71
medquad_7204,0.73
medquad_5484,0.0
medquad_12757,0.95
medquad_5429,0.98
medquad_380,0.73
medquad_5363,0.0
medquad_7153,0.94
medquad_589,0.96
medquad_11178,0.84
medquad_8939,0.9
medquad_9970,0.92
medquad_2241,0.98
medquad_6611,1.0
medquad_833,0.92
medquad_5842,0.99
medquad_7947,0.83
medquad_2991,0.88
medquad_2352,0.91
