id,hybrid_meta_score
medquad_2550,0.61
medquad_7632,0.92
medquad_8255,0.96
medquad_4514,0.04
medquad_12048,0.82
medquad_7993,0.85
medquad_6148,0.91
medquad_2703,0.91
medquad_11055,0.66
medquad_13777,0.91
medquad_12609,0.97
medquad_2840,0.85
medquad_5719,0.48
medquad_866,0.84
medquad_9783,0.98
medquad_9369,0.95
medquad_3901,0.58
medquad_3558,0.62
medquad_1518,0.93
medquad_9953,0.99
medquad_6582,0.96
medquad_9224,0.92
medquad_8346,0.95
medquad_8139,0.07
medquad_5191,0.0
medquad_13890,0.98
medquad_8615,0.95
medquad_8172,0.99
medquad_6790,0.96
medquad_4730,0.91
medquad_4857,0.74
medquad_92,0.95
medquad_8564,0.97
medquad_255,0.66
medquad_8477,0.35
medquad_10733,0.76
medquad_150,0.78
medquad_8801,0.0
medquad_4160,0.04
medquad_8487,0.88
medquad_1212,0.78
medquad_13716,0.67
medquad_6938,0.84
medquad_10581,0.93
medquad_8891,0.71
medquad_2711,0.97
medquad_11057,0.98
medquad_7852,0.92
medquad_7591,0.98
medquad_13380,1.0
medquad_13909,0.92
medquad_8356,0.73
medquad_811,0.62
medquad_1289,0.87
medquad_2375,0.98
medquad_13639,0.98
medquad_14068,0.84
medquad_12856,0.93
medquad_11102,0.85
medquad_10242,0.99
medquad_3988,0.74
medquad_13534,0.96
medquad_10351,0.8
medquad_14044,0.98
medquad_874,0.88
medquad_2916,0.88
medquad_2641,0.96
medquad_1964,0.89
medquad_1072,0.79
medquad_7687,0.78
medquad_4063,0.06
medquad_13772,0.99
medquad_4366,0.5
medquad_9766,0.95
medquad_4140,0.0
medquad_2240,0.83
medquad_7996,0.99
medquad_6560,0.94
medquad_6895,0.9
medquad_7547,0.48
medquad_11528,0.97
medquad_4475,0.91
medquad_413,0.97
medquad_5613,0.91
medquad_2263,0.96
medquad_8963,0.01
medquad_12968,0.87
medquad_3771,0.95
medquad_4538,0.99
medquad_2656,0.94
medquad_3616,0.97
medquad_9280,0.55
medquad_9506,0.97
medquad_6592,0.93
medquad_7139,0.33
medquad_4796,0.95
medquad_11489,0.98
medquad_8994,0.91
medquad_7454,0.57
medquad_11665,0.87
medquad_2530,0.95
medquad_11022,0.64
medquad_10875,0.8
medquad_11473,0.86
medquad_1253,0.76
medquad_4068,0.92
medquad_8609,0.56
medquad_1796,0.81
medquad_10167,0.93
medquad_10398,0.86
medquad_4410,0.99
medquad_5651,0.97
medquad_13578,0.79
medquad_6409,0.98
medquad_8482,0.88
medquad_6577,0.94
medquad_7585,0.0
medquad_11068,0.91
medquad_1060,0.89
medquad_6190,0.93
medquad_947,0.58
medquad_2763,0.95
medquad_10296,0.92
medquad_1805,0.66
medquad_5925,0.73
medquad_13169,0.97
medquad_12066,0.89
medquad_7427,0.91
medquad_1517,1.0
medquad_13073,0.96
medquad_813,1.0
medquad_9831,1.0
medquad_2690,0.98
medquad_9225,0.71
medquad_12237,0.77
medquad_2783,0.85
medquad_4754,0.88
medquad_10832,0.79
medquad_2821,0.94
medquad_1436,0.94
medquad_13255,0.77
medquad_13876,0.71
medquad_2912,0.58
medquad_11457,0.86
medquad_8097,0.0
medquad_13231,0.92
medquad_12794,0.9
medquad_4277,0.89
medquad_7003,0.71
medquad_12014,0.84
medquad_12364,0.74
medquad_11563,0.94
medquad_6862,0.66
medquad_2668,0.49
medquad_3196,0.76
medquad_6276,0.89
medquad_2953,0.94
medquad_8129,0.67
medquad_10326,0.73
medquad_6882,0.94
medquad_8295,0.89
medquad_6779,0.99
medquad_12624,0.31
medquad_411,0.95
medquad_4745,0.96
medquad_12769,0.94
medquad_2774,0.92
medquad_7332,0.94
medquad_11785,0.82
medquad_5575,1.0
medquad_2532,0.83
medquad_3818,0.97
medquad_6694,0.59
medquad_13912,0.99
medquad_10309,0.82
medquad_2300,0.93
medquad_5380,0.62
medquad_10541,0.97
medquad_5764,0.56
medquad_3587,0.8
medquad_12020,0.94
medquad_13160,0.51
medquad_7772,0.0
medquad_1115,1.0
medquad_9192,0.0
medquad_1440,0.79
medquad_6044,0.7
medquad_11743,0.94
medquad_5042,0.21
medquad_2113,0.99
medquad_11859,1.0
medquad_3869,0.96
medquad_10589,0.9
medquad_5023,0.87
medquad_6303,0.0
medquad_5632,0.96
medquad_8014,0.0
medquad_10096,0.02
medquad_13308,0.87
medquad_2830,0.91
medquad_5537,0.94
medquad_3051,0.92
medquad_11289,0.96
medquad_7896,0.87
medquad_3041,0.72
medquad_764,0.67
medquad_3851,0.84
medquad_7204,0.31
medquad_5484,0.01
medquad_12757,0.9
medquad_5429,0.87
medquad_380,0.93
medquad_5363,0.01
medquad_7153,0.58
medquad_589,0.98
medquad_11178,0.64
medquad_8939,0.94
medquad_9970,0.78
medquad_2241,1.0
medquad_629,0.98
