id,internal_signal_score
medquad_4195,0.88
medquad_9643,0.85
medquad_267,0.85
medquad_13503,0.82
medquad_5387,0.85
medquad_392,0.84
medquad_13680,0.83
medquad_10126,0.76
medquad_11709,0.78
medquad_5188,0.99
medquad_2645,0.72
medquad_10521,0.82
medquad_1646,0.89
medquad_7383,0.86
medquad_14010,0.88
medquad_13720,0.92
medquad_9585,0.83
medquad_11517,0.79
medquad_10165,0.83
medquad_2550,0.88
medquad_7632,0.86
medquad_8255,0.89
medquad_4514,0.26
medquad_12048,0.85
medquad_7993,0.86
medquad_6148,0.87
medquad_2703,0.91
medquad_11055,0.87
medquad_13777,0.95
medquad_12609,0.77
medquad_2840,0.84
medquad_5719,0.81
medquad_866,0.75
medquad_9783,0.87
medquad_9369,0.72
medquad_3901,0.71
medquad_3558,0.89
medquad_1518,0.95
medquad_9953,0.83
medquad_6582,0.81
medquad_9224,0.81
medquad_8346,0.94
medquad_8139,0.09
medquad_5191,0.15
medquad_13890,0.93
medquad_8615,0.8
medquad_8172,0.79
medquad_6790,0.88
medquad_4730,0.86
medquad_4857,0.75
medquad_92,0.93
medquad_8564,0.87
medquad_255,0.68
medquad_8477,0.79
medquad_10733,0.94
medquad_150,0.78
medquad_8801,0.02
medquad_4160,0.27
medquad_8487,0.86
medquad_1212,0.87
medquad_13716,0.87
medquad_6938,0.76
medquad_10581,0.93
medquad_8891,0.9
medquad_2711,0.79
medquad_11057,0.88
medquad_7852,0.86
medquad_7591,0.93
medquad_13380,0.84
medquad_13909,0.81
medquad_8356,0.81
medquad_811,0.89
medquad_1289,0.82
medquad_2375,0.92
medquad_13639,0.83
medquad_14068,0.81
medquad_12856,0.86
medquad_11102,0.76
medquad_10242,0.81
medquad_3988,0.77
medquad_13534,0.84
medquad_10351,0.84
medquad_14044,0.83
medquad_874,0.89
medquad_2916,0.81
medquad_2641,0.82
medquad_1964,0.78
medquad_1072,0.77
medquad_7687,0.89
medquad_4063,0.33
medquad_13772,0.93
medquad_4366,0.89
medquad_9766,0.9
medquad_4140,0.26
medquad_2240,0.81
medquad_7996,0.89
medquad_6560,0.82
medquad_6895,0.74
medquad_7547,0.41
medquad_11528,0.88
medquad_4475,0.74
medquad_413,0.84
medquad_5613,0.67
medquad_2263,0.84
medquad_8963,0.15
medquad_12968,0.88
medquad_3771,0.81
medquad_4538,0.86
medquad_2656,0.86
medquad_3616,0.88
medquad_9280,0.88
medquad_9506,0.89
medquad_6592,0.83
medquad_7139,0.0
medquad_4796,0.84
medquad_11489,0.81
medquad_8994,0.81
medquad_7454,0.7
medquad_11665,0.58
medquad_2530,0.86
medquad_11022,0.83
medquad_10875,0.76
medquad_11473,0.9
medquad_1253,0.98
medquad_4068,0.84
medquad_8609,0.78
medquad_1796,0.84
medquad_10167,0.68
medquad_10398,0.86
medquad_4410,0.84
medquad_5651,0.95
medquad_13578,0.91
medquad_6409,0.85
medquad_8482,0.78
medquad_6577,0.83
medquad_7585,0.02
medquad_11068,0.87
medquad_1060,0.91
medquad_6190,0.91
medquad_947,0.91
medquad_2763,0.79
medquad_10296,0.88
medquad_1805,0.88
medquad_5925,0.89
medquad_13169,0.92
medquad_12066,0.78
medquad_7427,0.73
medquad_1517,0.98
medquad_13073,0.9
medquad_813,0.98
medquad_9831,0.91
medquad_2690,0.93
medquad_9225,0.76
medquad_12237,0.89
medquad_2783,0.86
medquad_4754,0.86
medquad_10832,0.66
medquad_2821,0.86
medquad_1436,0.85
medquad_13255,0.85
medquad_13876,0.83
medquad_2912,0.53
medquad_11457,0.83
medquad_8097,0.07
medquad_13231,0.78
medquad_12794,0.88
medquad_4277,0.79
medquad_7003,0.9
medquad_12014,0.84
medquad_12364,0.7
medquad_11563,0.86
medquad_6862,0.84
medquad_2668,0.82
medquad_3196,0.89
medquad_6276,0.76
medquad_2953,0.71
medquad_8129,0.81
medquad_10326,0.94
medquad_6882,0.88
medquad_8295,0.87
medquad_6779,0.85
medquad_12624,0.91
medquad_411,0.94
medquad_4745,0.76
medquad_12769,0.79
medquad_2774,0.72
medquad_7332,0.76
medquad_11785,0.8
medquad_5575,0.82
medquad_2532,0.78
medquad_3818,0.85
medquad_6694,0.74
medquad_13912,0.98
medquad_10309,0.86
medquad_2300,0.75
medquad_5380,0.9
medquad_10541,0.93
medquad_5764,0.51
medquad_3587,0.92
medquad_12020,0.74
medquad_13160,0.9
medquad_7772,0.06
medquad_1115,0.99
medquad_9192,0.14
medquad_1440,0.89
medquad_6044,0.96
medquad_11743,0.8
medquad_5042,0.08
medquad_2113,0.92
medquad_11859,0.91
medquad_3869,0.74
medquad_10589,0.97
medquad_5023,0.89
medquad_6303,0.21
medquad_5632,0.6
medquad_8014,0.17
medquad_10096,0.07
medquad_13308,0.77
medquad_2830,0.89
medquad_5537,0.94
medquad_3051,0.79
medquad_11289,0.86
medquad_7896,0.76
medquad_3041,0.81
medquad_764,0.98
medquad_3851,0.88
medquad_7204,0.68
medquad_5484,0.35
medquad_12757,0.93
medquad_5429,0.82
medquad_380,0.88
medquad_5363,0.16
medquad_7153,0.64
medquad_589,0.94
medquad_11178,0.89
medquad_8939,0.8
medquad_9970,0.83
medquad_2241,0.89
medquad_629,0.98
