id,internal_signal_score
medquad_13720,0.78
medquad_9585,0.73
medquad_11517,0.69
medquad_10165,0.57
medquad_2550,0.91
medquad_7632,0.81
medquad_8255,0.88
medquad_4514,0.43
medquad_12048,0.96
medquad_7993,0.85
medquad_6148,0.75
medquad_2703,0.88
medquad_11055,0.8
medquad_13777,0.85
medquad_12609,0.92
medquad_2840,0.71
medquad_5719,0.74
medquad_866,0.84
medquad_9783,0.68
medquad_9369,0.77
medquad_3901,0.78
medquad_3558,0.73
medquad_1518,1.0
medquad_9953,0.61
medquad_6582,0.88
medquad_9224,0.76
medquad_8346,0.93
medquad_8139,0.19
medquad_5191,0.36
medquad_13890,0.97
medquad_8615,0.88
medquad_8172,0.69
medquad_6790,0.78
medquad_4730,0.91
medquad_4857,0.8
medquad_92,0.84
medquad_8564,0.69
medquad_255,0.69
medquad_8477,0.73
medquad_10733,0.61
medquad_150,0.76
medquad_8801,0.11
medquad_4160,0.88
medquad_8487,0.8
medquad_1212,0.97
medquad_13716,0.93
medquad_6938,0.77
medquad_10581,0.85
medquad_8891,0.86
medquad_2711,0.85
medquad_11057,0.78
medquad_7852,0.94
medquad_7591,0.72
medquad_13380,0.84
medquad_13909,0.73
medquad_8356,0.83
medquad_811,0.95
medquad_1289,0.68
medquad_2375,0.86
medquad_13639,0.92
medquad_14068,0.7
medquad_12856,0.79
medquad_11102,0.77
medquad_10242,0.76
medquad_3988,0.72
medquad_13534,0.67
medquad_10351,0.72
medquad_14044,0.75
medquad_874,0.78
medquad_2916,0.86
medquad_2641,0.82
medquad_1964,0.81
medquad_1072,0.97
medquad_7687,0.9
medquad_4063,0.49
medquad_13772,0.91
medquad_4366,0.78
medquad_9766,0.72
medquad_4140,0.87
medquad_2240,0.78
medquad_7996,0.88
medquad_6560,0.67
medquad_6895,0.79
medquad_7547,0.73
medquad_11528,0.73
medquad_4475,0.68
medquad_413,0.95
medquad_5613,0.89
medquad_2263,0.79
medquad_8963,0.1
medquad_12968,0.84
medquad_3771,0.86
medquad_4538,0.77
medquad_2656,0.94
medquad_3616,0.7
medquad_9280,0.75
medquad_9506,0.82
medquad_6592,0.85
medquad_7139,0.16
medquad_4796,0.84
medquad_11489,0.82
medquad_8994,0.93
medquad_7454,0.78
medquad_11665,0.79
medquad_2530,0.78
medquad_11022,0.84
medquad_10875,0.69
medquad_11473,0.81
medquad_1253,0.89
medquad_4068,0.82
medquad_8609,0.82
medquad_1796,0.94
medquad_10167,0.84
medquad_10398,0.79
medquad_4410,0.85
medquad_5651,0.93
medquad_13578,0.96
medquad_6409,0.65
medquad_8482,0.76
medquad_6577,0.87
medquad_7585,0.07
medquad_11068,0.65
medquad_1060,0.96
medquad_6190,0.97
medquad_947,0.91
medquad_2763,0.82
medquad_10296,0.86
medquad_1805,0.88
medquad_5925,0.66
medquad_13169,0.72
medquad_12066,0.77
medquad_7427,0.91
medquad_1517,0.97
medquad_13073,0.86
medquad_813,0.97
medquad_9831,0.85
medquad_2690,0.65
medquad_9225,0.86
medquad_12237,0.6
medquad_2783,0.82
medquad_4754,0.76
medquad_10832,0.78
medquad_2821,0.77
medquad_1436,0.99
medquad_13255,0.89
medquad_13876,0.89
medquad_2912,0.76
medquad_11457,0.83
medquad_8097,0.02
medquad_13231,0.73
medquad_12794,0.77
medquad_4277,0.77
medquad_7003,0.72
medquad_12014,0.83
medquad_12364,0.93
medquad_11563,0.65
medquad_6862,0.91
medquad_2668,0.81
medquad_3196,0.8
medquad_6276,0.65
medquad_2953,0.83
medquad_8129,0.8
medquad_10326,0.92
medquad_6882,0.65
medquad_8295,0.89
medquad_6779,0.77
medquad_12624,0.84
medquad_411,0.96
medquad_4745,0.52
medquad_12769,0.73
medquad_2774,0.83
medquad_7332,0.81
medquad_11785,0.83
medquad_5575,0.74
medquad_2532,0.87
medquad_3818,0.88
medquad_6694,0.85
medquad_13912,0.86
medquad_10309,0.85
medquad_2300,0.86
medquad_5380,0.6
medquad_10541,0.87
medquad_5764,0.76
medquad_3587,0.95
medquad_12020,0.76
medquad_13160,0.8
medquad_7772,0.05
medquad_1115,0.96
medquad_9192,0.08
medquad_1440,0.93
medquad_6044,0.94
medquad_11743,0.86
medquad_5042,0.11
medquad_2113,0.92
medquad_11859,0.83
medquad_3869,0.9
medquad_10589,0.95
medquad_5023,0.85
medquad_6303,0.14
medquad_5632,0.75
medquad_8014,0.2
medquad_10096,0.12
medquad_13308,0.86
medquad_2830,0.88
medquad_5537,0.86
medquad_3051,0.81
medquad_11289,0.84
medquad_7896,0.8
medquad_3041,0.81
medquad_764,0.99
medquad_3851,0.94
medquad_7204,0.9
medquad_5484,0.36
medquad_12757,0.92
medquad_5429,0.69
medquad_380,0.88
medquad_5363,0.17
medquad_7153,0.85
medquad_589,0.93
medquad_11178,0.95
medquad_8939,0.73
medquad_9970,0.88
medquad_2241,0.89
medquad_629,0.96
