id,hybrid_meta_score
medquad_4068,0.92
medquad_8609,0.89
medquad_1796,0.94
medquad_10167,0.81
medquad_10398,0.96
medquad_4410,0.84
medquad_5651,0.93
medquad_13578,0.97
medquad_6409,0.77
medquad_8482,0.99
medquad_6577,0.86
medquad_7585,0.03
medquad_11068,0.69
medquad_1060,1.0
medquad_6190,0.88
medquad_947,1.0
medquad_2763,0.71
medquad_10296,0.97
medquad_1805,0.98
medquad_5925,0.56
medquad_13169,0.42
medquad_12066,0.78
medquad_7427,0.99
medquad_1517,1.0
medquad_13073,0.91
medquad_813,1.0
medquad_9831,0.88
medquad_2690,0.83
medquad_9225,0.98
medquad_12237,0.69
medquad_2783,0.97
medquad_4754,0.49
medquad_10832,0.82
medquad_2821,0.96
medquad_1436,1.0
medquad_13255,1.0
medquad_13876,0.89
medquad_2912,0.53
medquad_11457,0.98
medquad_8097,0.29
medquad_13231,0.76
medquad_12794,0.74
medquad_4277,0.68
medquad_7003,0.83
medquad_12014,0.84
medquad_12364,0.93
medquad_11563,0.95
medquad_6862,0.88
medquad_2668,0.88
medquad_3196,0.36
medquad_6276,0.82
medquad_2953,0.95
medquad_8129,0.59
medquad_10326,0.94
medquad_6882,0.9
medquad_8295,1.0
medquad_6779,0.46
medquad_12624,0.55
medquad_411,0.98
medquad_4745,0.48
medquad_12769,0.65
medquad_2774,0.68
medquad_7332,0.69
medquad_11785,0.79
medquad_5575,0.77
medquad_2532,0.91
medquad_3818,1.0
medquad_6694,0.97
medquad_13912,0.96
medquad_10309,0.99
medquad_2300,0.96
medquad_5380,0.63
medquad_10541,0.99
medquad_5764,0.89
medquad_3587,0.65
medquad_12020,0.63
medquad_13160,0.72
medquad_7772,0.04
medquad_1115,0.98
medquad_9192,0.0
medquad_1440,0.9
medquad_6044,0.97
medquad_11743,0.94
medquad_5042,0.0
medquad_2113,0.99
medquad_11859,0.98
medquad_3869,0.93
medquad_10589,0.69
medquad_5023,0.97
medquad_6303,0.1
medquad_5632,0.84
medquad_8014,0.07
medquad_10096,0.41
medquad_13308,0.8
medquad_2830,0.93
medquad_5537,0.89
medquad_3051,0.9
medquad_11289,0.94
medquad_7896,0.87
medquad_3041,0.52
medquad_764,0.98
medquad_3851,0.97
medquad_7204,1.0
medquad_5484,0.0
medquad_12757,0.98
medquad_5429,0.85
medquad_380,1.0
medquad_5363,0.02
medquad_7153,0.86
medquad_589,0.85
medquad_11178,0.96
medquad_8939,0.78
medquad_9970,0.91
medquad_2241,0.64
medquad_629,0.74
