id,internal_signal_score
medquad_13369,0.9
medquad_11327,0.9
medquad_8765,0.84
medquad_4543,0.82
medquad_11213,0.86
medquad_1053,0.8
medquad_8224,0.95
medquad_5847,0.71
medquad_4103,0.91
medquad_6010,0.88
medquad_11232,0.75
medquad_4529,0.78
medquad_214,0.88
medquad_10543,0.75
medquad_737,0.86
medquad_1365,0.82
medquad_621,0.96
medquad_1250,0.76
medquad_14031,0.86
medquad_8169,0.11
medquad_2260,0.76
medquad_10839,1.0
medquad_9284,0.8
medquad_9999,0.95
medquad_13849,0.78
medquad_5111,0.17
medquad_8482,0.8
medquad_1524,0.88
medquad_10093,0.8
medquad_9293,0.85
medquad_3163,0.75
medquad_13491,0.86
medquad_2790,0.88
medquad_9429,0.92
medquad_6194,0.81
medquad_650,0.93
medquad_5574,0.96
medquad_4106,0.85
medquad_2346,0.8
medquad_1790,0.88
medquad_5167,0.88
medquad_11985,0.19
medquad_10492,0.75
medquad_2612,0.91
medquad_1425,0.85
medquad_10850,0.89
medquad_6017,0.77
medquad_4195,0.89
medquad_9643,0.81
medquad_267,0.82
medquad_13503,0.78
medquad_5387,0.71
medquad_392,1.0
medquad_13680,0.89
medquad_10126,0.81
medquad_11709,0.91
medquad_5188,1.0
medquad_2645,0.93
medquad_9233,0.89
medquad_1646,0.94
medquad_7383,0.85
medquad_14010,0.97
medquad_13720,0.88
medquad_9585,0.96
medquad_11517,0.89
medquad_10165,0.89
medquad_2550,0.79
medquad_7632,0.83
medquad_8255,0.86
medquad_4514,0.89
medquad_12048,1.0
medquad_7993,0.86
medquad_6148,0.79
medquad_2703,0.97
medquad_11055,0.76
medquad_13777,0.93
medquad_12609,0.99
medquad_2840,0.91
medquad_5719,0.88
medquad_866,0.92
medquad_9783,0.71
medquad_9369,0.96
medquad_3901,0.88
medquad_3558,0.8
medquad_1518,0.93
medquad_9953,0.89
medquad_6582,0.99
medquad_9224,0.99
medquad_8346,1.0
medquad_8139,0.19
medquad_5191,0.4
medquad_13890,0.94
medquad_8615,0.76
medquad_8172,0.78
medquad_6790,0.85
medquad_4730,0.9
medquad_4857,0.73
medquad_92,0.89
medquad_8564,0.76
medquad_255,0.9
medquad_8477,0.99
medquad_10733,0.8
medquad_150,0.81
medquad_8801,0.08
medquad_4160,0.8
medquad_8487,0.91
medquad_1212,0.98
medquad_13716,0.85
medquad_6938,0.81
medquad_10581,0.83
medquad_8891,1.0
medquad_2711,0.72
medquad_11057,0.91
medquad_7852,1.0
medquad_7591,0.72
medquad_13380,0.79
medquad_13909,0.89
medquad_8356,0.86
medquad_811,1.0
medquad_1289,0.69
medquad_2375,0.9
medquad_13639,0.74
medquad_12364,0.93
medquad_3269,0.92
medquad_11102,0.77
medquad_10242,0.87
medquad_3988,0.94
medquad_13534,0.84
medquad_10351,0.85
medquad_14044,0.92
medquad_874,0.88
medquad_2916,0.95
medquad_2641,0.83
medquad_1964,0.62
medquad_1072,0.98
medquad_7687,1.0
medquad_4063,0.87
medquad_13772,0.89
medquad_8571,0.63
medquad_9766,0.91
medquad_4140,0.9
medquad_2240,0.82
medquad_7996,0.96
medquad_6560,0.84
medquad_6895,0.68
medquad_7547,0.7
medquad_11528,0.84
medquad_4475,0.91
medquad_413,0.89
medquad_5613,1.0
medquad_2263,0.94
medquad_8963,0.06
medquad_12968,0.94
medquad_3771,0.98
medquad_4538,0.8
medquad_2656,0.96
medquad_3616,0.88
medquad_9280,0.84
medquad_9506,0.77
medquad_6592,0.81
medquad_7139,0.18
medquad_4796,0.83
medquad_11489,0.75
medquad_8994,1.0
medquad_7454,0.7
medquad_11665,0.8
medquad_2530,0.65
medquad_11022,0.96
medquad_10875,0.84
medquad_11473,0.9
medquad_1253,0.9
medquad_4068,0.75
medquad_8609,0.98
medquad_1796,0.96
medquad_10167,0.86
medquad_10398,0.87
medquad_4410,0.9
medquad_5651,0.99
medquad_13578,1.0
medquad_6409,0.89
medquad_13660,0.93
medquad_6577,0.98
medquad_7585,0.21
medquad_11068,0.68
medquad_1060,0.98
medquad_6190,1.0
medquad_947,1.0
medquad_2763,0.77
medquad_10296,0.9
medquad_1805,0.89
medquad_5925,0.78
medquad_13169,0.86
medquad_12066,0.79
medquad_7427,0.78
medquad_1517,0.96
medquad_2206,0.93
medquad_813,0.89
medquad_9831,0.94
medquad_2690,0.94
medquad_9225,0.99
medquad_12237,0.8
medquad_2783,0.83
medquad_4754,0.85
medquad_10832,0.82
medquad_2821,0.89
medquad_1436,0.98
medquad_13255,0.87
medquad_13876,0.99
medquad_2912,0.78
medquad_11457,0.83
medquad_8097,0.13
medquad_13231,0.85
medquad_12794,0.74
medquad_4277,0.71
medquad_13073,0.84
medquad_12014,0.87
medquad_11549,0.82
medquad_11563,0.92
medquad_6862,0.75
medquad_2668,0.92
medquad_3196,0.91
medquad_6276,0.82
medquad_2953,0.89
medquad_10343,0.93
medquad_12472,0.76
medquad_6882,0.74
medquad_8295,0.77
medquad_6779,0.85
medquad_12624,0.86
medquad_411,1.0
medquad_4745,0.88
medquad_12769,0.86
medquad_2774,0.9
medquad_7332,0.8
medquad_11785,0.87
medquad_5575,0.92
medquad_2532,0.99
medquad_3818,0.96
medquad_6694,0.73
medquad_13912,0.92
medquad_2311,0.81
medquad_250,0.81
medquad_5380,0.69
medquad_10541,0.82
medquad_5764,0.74
medquad_3587,0.95
medquad_12020,0.79
medquad_13160,0.91
medquad_7772,0.06
medquad_1115,0.82
medquad_9192,0.19
medquad_1440,0.89
medquad_6044,0.99
medquad_11743,0.55
medquad_5042,0.14
medquad_2113,0.9
medquad_11859,0.93
medquad_7644,0.15
medquad_10589,0.98
medquad_9056,0.07
medquad_6303,0.32
medquad_5632,0.89
medquad_3299,1.0
medquad_12436,1.0
medquad_13308,0.85
medquad_2830,0.85
medquad_5537,0.99
medquad_3051,0.85
medquad_11289,0.92
medquad_7896,0.77
medquad_3041,0.83
medquad_764,1.0
medquad_3851,0.91
medquad_7204,0.89
medquad_5484,0.2
medquad_12757,0.93
medquad_5429,0.85
medquad_380,0.99
medquad_5363,0.01
medquad_7153,0.72
medquad_589,0.87
medquad_11178,1.0
medquad_8939,0.7
medquad_9970,0.86
medquad_2241,0.91
medquad_6611,0.81
medquad_833,0.88
medquad_5842,0.66
medquad_7947,0.77
medquad_2991,0.91
medquad_2352,0.87
